"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 24, 2020","17,192.15","17,192.15","17,192.15","17,192.15","-","0.56%"
"Jan 23, 2020","17,095.61","17,095.61","17,095.61","17,095.61","-","0.62%"
"Jan 22, 2020","16,990.68","16,990.68","16,990.68","16,990.68","-","-0.52%"
"Jan 21, 2020","17,079.07","17,079.07","17,079.07","17,079.07","-","-0.45%"
"Jan 20, 2020","17,155.83","17,155.83","17,155.83","17,155.83","-","-1.03%"
"Jan 17, 2020","17,335.20","17,335.20","17,335.20","17,335.20","-","-0.03%"
"Jan 16, 2020","17,339.57","17,339.57","17,339.57","17,339.57","-","0.10%"
"Jan 15, 2020","17,322.50","17,322.50","17,322.50","17,322.50","-","-0.15%"
"Jan 14, 2020","17,349.12","17,349.12","17,349.12","17,349.12","-","0.27%"
"Jan 13, 2020","17,303.20","17,303.20","17,303.20","17,303.20","-","0.59%"
"Jan 10, 2020","17,201.08","17,201.08","17,201.08","17,201.08","-","0.33%"
"Jan 09, 2020","17,143.65","17,143.65","17,143.65","17,143.65","-","1.58%"
"Jan 08, 2020","16,876.24","16,876.24","16,876.24","16,876.24","-","-0.23%"
"Jan 07, 2020","16,915.03","16,915.03","16,915.03","16,915.03","-","0.50%"
"Jan 06, 2020","16,830.93","16,830.93","16,830.93","16,830.93","-","-1.91%"
"Jan 03, 2020","17,158.75","17,158.75","17,158.75","17,158.75","-","-0.45%"
"Jan 02, 2020","17,236.70","17,236.70","17,236.70","17,236.70","-","0.82%"
"Jan 01, 2020","17,096.83","17,096.83","17,096.83","17,096.83","-","0.12%"
"Dec 31, 2019","17,077.06","17,077.06","17,077.06","17,077.06","-","-0.71%"
"Dec 30, 2019","17,199.73","17,199.73","17,199.73","17,199.73","-","0.08%"
"Dec 27, 2019","17,185.66","17,185.66","17,185.66","17,185.66","-","0.98%"
"Dec 26, 2019","17,018.26","17,018.26","17,018.26","17,018.26","-","-0.72%"
"Dec 24, 2019","17,141.80","17,141.80","17,141.80","17,141.80","-","-0.39%"
"Dec 23, 2019","17,209.40","17,209.40","17,209.40","17,209.40","-","-0.07%"
"Dec 20, 2019","17,222.14","17,222.14","17,222.14","17,222.14","-","0.10%"
"Dec 19, 2019","17,205.12","17,205.12","17,205.12","17,205.12","-","0.32%"
"Dec 18, 2019","17,150.93","17,150.93","17,150.93","17,150.93","-","0.47%"
"Dec 17, 2019","17,071.49","17,071.49","17,071.49","17,071.49","-","0.92%"
"Dec 16, 2019","16,915.65","16,915.65","16,915.65","16,915.65","-","-0.27%"
"Dec 13, 2019","16,961.56","16,961.56","16,961.56","16,961.56","-","0.96%"
"Dec 12, 2019","16,800.36","16,800.36","16,800.36","16,800.36","-","0.52%"
"Dec 11, 2019","16,713.79","16,713.79","16,713.79","16,713.79","-","0.45%"
"Dec 10, 2019","16,638.94","16,638.94","16,638.94","16,638.94","-","-0.67%"
