"Date","Price","Open","High","Low","Vol.","Change %"
"May 02, 2014","9,556.02","9,611.79","9,627.38","9,533.30","88.06M","-0.49%"
"Apr 30, 2014","9,603.23","9,576.93","9,618.98","9,561.06","90.29M","0.20%"
"Apr 29, 2014","9,584.12","9,521.65","9,596.42","9,480.57","91.47M","1.46%"
"Apr 28, 2014","9,446.36","9,454.84","9,496.84","9,407.65","67.54M","0.48%"
"Apr 25, 2014","9,401.55","9,474.79","9,501.91","9,367.42","79.23M","-1.54%"
"Apr 24, 2014","9,548.68","9,597.07","9,645.06","9,410.33","87.81M","0.05%"
"Apr 23, 2014","9,544.19","9,602.12","9,607.84","9,539.62","61.22M","-0.58%"
"Apr 22, 2014","9,600.09","9,455.52","9,602.57","9,439.66","70.19M","2.02%"
"Apr 17, 2014","9,409.71","9,311.03","9,417.82","9,277.36","86.30M","0.99%"
"Apr 16, 2014","9,317.82","9,252.30","9,318.97","9,221.48","78.80M","1.57%"
"Apr 15, 2014","9,173.71","9,324.84","9,344.85","9,166.53","88.16M","-1.77%"
"Apr 14, 2014","9,339.17","9,248.86","9,339.17","9,214.18","90.92M","0.26%"
"Apr 11, 2014","9,315.29","9,351.20","9,390.44","9,259.43","100.49M","-1.47%"
"Apr 10, 2014","9,454.54","9,556.70","9,581.48","9,440.99","77.87M","-0.54%"
"Apr 09, 2014","9,506.35","9,506.75","9,542.31","9,480.96","69.92M","0.16%"
"Apr 08, 2014","9,490.79","9,525.07","9,525.94","9,391.86","86.19M","-0.21%"
"Apr 07, 2014","9,510.85","9,585.52","9,608.20","9,496.67","78.80M","-1.91%"
"Apr 04, 2014","9,695.77","9,641.96","9,721.50","9,627.74","75.31M","0.70%"
"Apr 03, 2014","9,628.82","9,620.87","9,689.52","9,591.89","76.39M","0.06%"
"Apr 02, 2014","9,623.36","9,628.76","9,645.60","9,608.46","73.98M","0.20%"
"Apr 01, 2014","9,603.71","9,601.96","9,631.06","9,574.63","72.84M","0.50%"
"Mar 31, 2014","9,555.91","9,621.92","9,634.82","9,543.09","68.77M","-0.33%"
"Mar 28, 2014","9,587.19","9,487.12","9,587.19","9,484.90","70.50M","1.44%"
"Mar 27, 2014","9,451.21","9,428.91","9,469.39","9,397.98","66.83M","0.03%"
"Mar 26, 2014","9,448.58","9,367.53","9,488.74","9,360.30","75.84M","1.18%"
